measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,68,Republic of Korea,1,Male,28,<1 year,414,Stomach cancer,1,Number,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,2,Female,28,<1 year,414,Stomach cancer,1,Number,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,3,Both,28,<1 year,414,Stomach cancer,1,Number,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,1,Male,28,<1 year,414,Stomach cancer,2,Percent,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,2,Female,28,<1 year,414,Stomach cancer,2,Percent,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,3,Both,28,<1 year,414,Stomach cancer,2,Percent,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,1,Male,28,<1 year,414,Stomach cancer,3,Rate,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,2,Female,28,<1 year,414,Stomach cancer,3,Rate,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,3,Both,28,<1 year,414,Stomach cancer,3,Rate,1990,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,1,Male,28,<1 year,414,Stomach cancer,1,Number,1991,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,2,Female,28,<1 year,414,Stomach cancer,1,Number,1991,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,3,Both,28,<1 year,414,Stomach cancer,1,Number,1991,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,1,Male,28,<1 year,414,Stomach cancer,2,Percent,1991,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,2,Female,28,<1 year,414,Stomach cancer,2,Percent,1991,0.0,0.0,0.0
5,Prevalence,68,Republic of Korea,3,Both,28,<1 year,414,Stomach cancer,2,Percent,1991,0.0,0.0,0.0
