Country,Year,Sex,ISO3,Age,nMx,nAx,n,nqx,lx,ndx,nLx,Tx,ex
Algeria,2000,f,DZA,0,0.03443,0.0953514372647568,1,0.03339,1,0.03339,0.9697937844902702,73.51514668834714,73.51514668834714
Algeria,2000,f,DZA,1,0.00145,2.8088857125841287,4,0.005789999999999999,0.96661,0.005596671899999999,3.859773724137931,72.54535290385688,75.0513163570177
Algeria,2000,f,DZA,5,7e-4,2.5,5,0.003493885700024957,0.9610133281,0.0033576707245819818,4.796672463688545,68.68557917971894,71.47203599716542
Algeria,2000,f,DZA,10,4.6e-4,2.5,5,0.0022973580382560058,0.957655657375418,0.002200077922352756,4.782778092071209,63.888906716030405,66.71386131746603
Algeria,2000,f,DZA,15,6.5e-4,2.5,5,0.0032447273181080744,0.9554555794530653,0.0031001928198901405,4.769527415215601,59.106128623959194,61.86172323970678
Algeria,2000,f,DZA,20,7.8e-4,2.5,5,0.003892409800888268,0.9523553866331751,0.0037069574408597067,4.752509539563727,54.336601208743595,57.05496285461005
Algeria,2000,f,DZA,25,9.4e-4,0.4537188579743088,5,0.00468,0.9486484291923154,0.004439674648620036,4.723058136829826,49.58409166917987,52.2681429108527
Algeria,2000,f,DZA,30,0.00121,0.8814969385794029,5,0.00602,0.94420875454369535,0.005684136702353047,4.697633638308303,44.86103353235004,47.51177461178051
Algeria,2000,f,DZA,35,0.00171,1.560027519779851,5,0.0085,0.9385246178413423,0.00797745925165141,4.665180848918954,40.16339989404174,42.79418901809922
Algeria,2000,f,DZA,40,0.00217,2.866530124594646,5,0.0108,0.930547158589691,0.010049909312768663,4.631294614179107,35.49821904512278,38.147684099022776
Algeria,2000,f,DZA,45,0.00299,1.838437375090052,5,0.01481,0.9204972492769222,0.013632564261791219,4.559386040732849,30.866924430943676,33.53288068507598
Algeria,2000,f,DZA,50,0.00407,2.1912993781781154,5,0.02012,0.9068646850151311,0.018246117462504437,4.483075543612883,26.307538390210826,29.00933162897603
Algeria,2000,f,DZA,55,0.00621,2.471550998026231,5,0.030570000000000003,0.8886185675526266,0.027165069610083796,4.374407344618969,21.824462846597946,24.55998967780452
Algeria,2000,f,DZA,60,0.01048,2.4958363607550496,5,0.05106,0.8614534979425428,0.043985815604946236,4.197119809632275,17.450055501978976,20.256526375081084
Algeria,2000,f,DZA,65,0.01531,2.5017857359584212,5,0.07373,0.8174676823375966,0.060271892218751,3.936766310826323,13.252935692346702,16.21218303633626
Algeria,2000,f,DZA,70,0.02667,2.5017120620280764,5,0.12502,0.7571957901188456,0.09466461768065808,3.549479478089917,9.316169381520378,12.303514497958526
Algeria,2000,f,DZA,75,0.04538,2.498670553672788,5,0.20376999999999998,0.6625311724381875,0.13500397700772945,2.9749664391302217,5.7666899034304615,8.704028041742411
Algeria,2000,f,DZA,80,0.15201,2.500150129547621,5,0.55076,0.527527195430458,0.29054087815527907,1.9113274005346952,2.7917234643002393,5.292093921380139
Algeria,2000,f,DZA,85,0.26545,3.696901825293123,5,0.9861376716327441,0.23698631727517894,0.23370113512656374,0.8803960637655442,0.8803960637655442,3.7149658000856816
Algeria,2000,m,DZA,0,0.04071,0.09925784476046572,1,0.03927,1,0.03927,0.9646278555637434,70.91699896993802,70.91699896993802
Algeria,2000,m,DZA,1,0.00153,1.857066323797426,4,0.006100000000000001,0.96073,0.005860453000000001,3.8303614379084974,69.95237111437427,72.8116860245587
Algeria,2000,m,DZA,5,7.4e-4,2.5,5,0.003693167639866248,0.9548695469999999,0.003526493311274143,4.7655315017218145,66.12200967646578,69.24716563032854
