Country,Year,Sex,ISO3,Age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Tx,ex
Algeria,2000,b,DZA,0,1,0.03763999999999999,0.17138181425365853,0.03650154638872118,1,0.03650154638872118,0.9697541548544419,72.00805279615864,72.00805279615864
Algeria,2000,b,DZA,1,4,0.00149,1.3879137661291987,0.005936893559869858,0.9634984536112788,0.005720187764189369,3.83905219073112,71.0382986413042,73.72954089863482
Algeria,2000,b,DZA,5,5,7.2e-4,2.2838959177170373,0.003592973599012934,0.9577782658470895,0.0034412720228969838,4.77954447624581,67.19924645057309,70.16159047119318
Algeria,2000,b,DZA,10,5,5.6e-4,2.5453215731904604,0.0027961563477876547,0.9543369938241926,0.002668475443210104,4.765134720018044,62.41970197432727,65.40635265976726
Algeria,2000,b,DZA,15,5,9e-4,2.66540875970149,0.00449056473022514,0.9516685183809825,0.004273529083507256,4.748365648341395,57.65456725430923,60.58261478733534
Algeria,2000,b,DZA,20,5,0.00125,2.5953132560928616,0.006231269685486999,0.9473949892974752,0.0059034736769916375,4.72277894159331,52.90620160596783,55.84386892862874
Algeria,2000,b,DZA,25,5,0.00144,2.54181487075353,0.007174603435000094,0.9414915156204836,0.006754828261994166,4.69085295971817,48.18342266437452,51.177755577138214
Algeria,2000,b,DZA,30,5,0.00155,2.554523077621768,0.007720734638507472,0.9347366873584894,0.007216853919972418,4.65603478707898,43.49256970465635,46.52922078790315
Algeria,2000,b,DZA,35,5,0.0019,2.591423561171975,0.009456723242498242,0.9275198334385171,0.008771298366756122,4.616472824608485,38.83653491757737,41.87137947616917
Algeria,2000,b,DZA,40,5,0.00245,2.6092778497093514,0.012178666272315355,0.9187485350717609,0.011189131796817596,4.566992570129631,34.22006209296889,37.24638547619132
Algeria,2000,b,DZA,45,5,0.00329,2.6332558111160855,0.016322900294217832,0.9075594032749433,0.014814001650736732,4.502736064053719,29.653069522839253,32.67341996109087
Algeria,2000,b,DZA,50,5,0.0048,2.6499578699514075,0.02373229491412354,0.8927454016242067,0.021186897154573336,4.413936907202779,25.150333458785536,28.171899192119668
Algeria,2000,b,DZA,55,5,0.00709,2.6738538105641108,0.03487483115481031,0.8715585044696333,0.03039545568491745,4.287088248930528,20.736396551582757,23.79231737770881
Algeria,2000,b,DZA,60,5,0.01187,2.6564814611737586,0.057743710574525944,0.8411630487847159,0.04857187563501048,4.09198615290737,16.449308302652227,19.555433784707535
Algeria,2000,b,DZA,65,5,0.01692,2.6556790020161674,0.08137229381250415,0.7925911731497054,0.06449496181473517,3.811758972502078,12.357322149744858,15.591041849024977
Algeria,2000,b,DZA,70,5,0.02968,2.6623959596163185,0.13877198731915957,0.7280962113349703,0.10103935820650463,3.404291044693552,8.54556317724278,11.736859832815805
Algeria,2000,b,DZA,75,5,0.04964,2.736547272359912,0.2231296454006468,0.6270568531284656,0.1399149732846,2.8185933377236103,5.141272132549227,8.199052616838127
Algeria,2000,b,DZA,80,5,0.15176,2.6070102752027684,0.5566477396994286,0.48714187984386564,0.27116642632801846,1.7868109273063948,2.322678794825617,4.767971900855787
Algeria,2000,b,DZA,85,NA,0.26312,2.481151717919199,1,0.21597545351584718,0.21597545351584718,0.5358678675192223,0.5358678675192223,2.481151717919199
Algeria,2000,f,DZA,0,1,0.03442999999999999,0.1802890427,0.03348496559404641,1,0.03348496559404641,0.9725520067977467,73.30217667194847,73.30217667194847
Algeria,2000,f,DZA,1,4,0.00145,1.3475199609784865,0.005777778110393813,0.9665150344059535,0.005584309409157241,3.8512478683843048,72.32962466515073,74.83548842011184
Algeria,2000,f,DZA,5,5,7e-4,2.246767029400991,0.003493267554415841,0.9609307249967963,0.0033567881236726,4.795411605246572,68.47837679676643,71.26255308049883
